TicketID,DateOpened,DateClosed,Category,Priority,AgentName,ResolutionTimeHrs,CSAT_Score
80001,2024-10-13,2024-10-16,General,Medium,Sarah K.,89,4
80002,2024-08-02,,Billing,Low,Tom B.,,
80003,12/20/2024,,General,Medium,Jessica L.,,
80004,2024-03-20,2024-03-20,Account,High,Tom B.,12,3
80005,2024-09-24,,BILLING,Low,Tom B.,,
80006,2024-09-13,2024-09-15,Technical,Low,Jessica L.,58,3
80007,2024-11-22,2024-11-22,Account,Urgent,Sarah K.,20,
80008,2024-12-28,2024-12-30, technical ,High,Sarah K.,54,3
80009,2024-10-06,2024-10-08,Billing,High,Jessica L.,64,5
80010,2024-04-30,2024-05-02,Technical,Medium,Jessica L.,51,3
80011,2024-04-08,2024-04-12,BILLING,High,Tom B.,118,3
80012,2024-09-19,,General,Medium,Sarah K.,,
80013,2024-09-12,2024-09-15,General,Low,Jessica L.,80,5
80014,06/21/2024,2024-06-25, technical ,Medium,Mike T.,101,5
80015,2024-06-10,2024-06-10,General,Low,Tom B.,5,5
80016,2024-11-01,2024-11-02, technical ,Medium,Mike T.,39,3
80017,2024-06-24,2024-06-26,Billing,High,Tom B.,66,4
80018,2024-05-26,2024-05-30,Technical,High,David W.,102,3
80019,2024-03-16,2024-03-17,Technical,Low,David W.,29,2
80020,2024-09-25,2024-09-28,Technical,High,Jessica L.,92,1
80021,2024-10-11,2024-10-11,Account,Urgent,Sarah K.,6,1
80022,2024-10-08,2024-10-09,Technical,Urgent,Sarah K.,34,
80023,04/23/2024,2024-04-26, technical ,High,Sarah K.,76,
80024,2024-02-12,2024-02-12,Technical,Urgent,Tom B.,20,
80025,2024-03-26,2024-03-26,Account,Medium,Sarah K.,6,2
80026,2024-05-05,,BILLING,Medium,Sarah K.,,
80027,2024-10-15,2024-10-15,General,High,Mike T.,10,3
80028,06/15/2024,2024-06-16,General,Urgent,Sarah K.,33,3
80029,2024-05-08,2024-05-09,BILLING,Low,Sarah K.,32,3
80030,2024-10-09,2024-10-10,Billing,High,Mike T.,47,4
80031,04/10/2024,,BILLING,High,Sarah K.,,
80032,2024-12-29,2025-01-02,BILLING,Medium,Sarah K.,104,3
80033,2024-05-24,2024-05-24,Billing,Urgent,Jessica L.,5,4
80034,2024-11-15,2024-11-17, technical ,Medium,Sarah K.,63,2
80035,2024-05-19,2024-05-20, technical ,Medium,Mike T.,26,1
80036,2024-01-08,,Billing,Medium,Sarah K.,,
80037,2024-03-30,2024-03-31,BILLING,Low,Tom B.,45,1
80038,2024-06-22,2024-06-22,Account,Urgent,Jessica L.,8,3
80039,2024-09-01,2024-09-05,Account,High,David W.,107,5
80040,2024-04-10,2024-04-13,BILLING,High,Tom B.,91,3
80041,2024-03-28,2024-04-01,General,High,Tom B.,105,1
80042,2024-04-22,2024-04-25, technical ,Low,Mike T.,83,1
80043,2024-08-24,2024-08-24,Technical,Medium,Mike T.,12,5
80044,2024-10-24,,Billing,High,Jessica L.,,
80045,2024-09-15,2024-09-17, technical ,High,David W.,68,1
80046,2024-11-30,2024-12-04,Billing,High,Mike T.,115,1
80047,2024-04-25,2024-04-26, technical ,High,David W.,32,
80048,2024-04-10,2024-04-10,BILLING,Urgent,David W.,13,
80049,2024-07-14,2024-07-16,BILLING,High,David W.,58,3
80050,2024-09-09,2024-09-10,Billing,Medium,David W.,24,1
80051,2024-04-03,2024-04-05,BILLING,High,Mike T.,64,
80052,2024-02-19,2024-02-23,Billing,High,David W.,119,2
80053,2024-07-08,2024-07-09,General,Urgent,Sarah K.,31,4
80054,2024-04-21,2024-04-22,Technical,Urgent,Jessica L.,33,2
80055,2024-01-05,2024-01-08,Technical,High,Sarah K.,86,3
80056,2024-07-13,2024-07-14,BILLING,Low,Jessica L.,42,1
80057,2024-03-22,2024-03-22,Technical,Urgent,David W.,17,2
80058,2024-08-17,2024-08-17,Billing,Medium,Tom B.,19,4
80059,2024-06-20,2024-06-22, technical ,High,Jessica L.,67,
80060,2024-10-18,2024-10-18,BILLING,Urgent,Jessica L.,6,3
80061,2024-01-12,2024-01-12, technical ,Low,Tom B.,20,4
80062,2024-09-30,2024-10-02,General,Low,Tom B.,-51,
80063,2024-10-02,2024-10-04,Technical,Medium,Jessica L.,51,2
80064,2024-12-24,2024-12-24,General,Urgent,Mike T.,11,3
80065,2024-11-18,2024-11-20,BILLING,Medium,Jessica L.,58,4
80066,2024-01-28,,Account,Low,Tom B.,,
80067,2024-06-01,2024-06-01,General,High,Mike T.,10,4
80068,2024-08-18,2024-08-18, technical ,Medium,David W.,1,1
80069,2024-10-10,2024-10-10,Technical,Urgent,Jessica L.,19,4
80070,2024-06-08,2024-06-08,BILLING,Medium,Jessica L.,20,5
80071,2024-06-05,2024-06-05,Billing,Urgent,Sarah K.,4,5
80072,2024-12-10,2024-12-13,Technical,High,Mike T.,95,4
80073,2024-09-01,2024-09-02,Technical,Urgent,Mike T.,24,2
80074,2024-12-10,2024-12-10,General,Urgent,Mike T.,1,3
80075,2024-05-21,2024-05-21,Billing,Urgent,Jessica L.,15,
80076,2024-01-23,2024-01-26,Billing,High,Mike T.,87,1
80077,2024-05-03,2024-05-05,Billing,Medium,Jessica L.,50,2
80078,2024-03-23,2024-03-23,Billing,Medium,David W.,15,2
80079,2024-11-10,2024-11-11,Technical,Urgent,Mike T.,24,5
80080,2024-06-10,2024-06-13,Billing,Medium,Mike T.,80,5
80081,2024-12-10,2024-12-10, technical ,Urgent,Jessica L.,18,5
80082,2024-03-01,2024-03-04,BILLING,High,David W.,92,
80083,2024-12-17,2024-12-18,General,Urgent,Jessica L.,27,4
80084,2024-09-15,2024-09-15,Billing,Urgent,Tom B.,13,3
80085,2024-05-10,2024-05-11, technical ,High,David W.,25,3
80086,2024-04-10,,BILLING,Medium,Mike T.,,
80087,2024-12-07,2024-12-08,BILLING,Urgent,Jessica L.,31,2
80088,2024-11-26,2024-11-26,Billing,Urgent,Tom B.,1,3
80089,2024-02-01,2024-02-04,General,Low,Sarah K.,84,3
80090,2024-09-19,2024-09-20,Account,Medium,Tom B.,47,5
80091,2024-05-27,2024-05-30,BILLING,Low,Jessica L.,85,3
80092,2024-08-19,2024-08-21,Billing,High,Jessica L.,60,5
80093,2024-06-01,2024-06-02,BILLING,High,David W.,39,4
80094,2024-08-24,2024-08-28,BILLING,High,Mike T.,112,3
80095,2024-12-10,2024-12-14,Technical,Medium,Sarah K.,119,4
80096,2024-11-16,2024-11-18,BILLING,High,Mike T.,67,2
80097,2024-07-03,2024-07-03,Account,Urgent,David W.,8,3
80098,2024-12-25,2024-12-27,Account,Medium,Sarah K.,62,3
80099,2024-10-07,2024-10-07,BILLING,Urgent,Jessica L.,4,2
80100,2024-08-13,2024-08-14,Billing,Urgent,Tom B.,31,2
80101,2024-03-10,2024-03-11,Technical,Urgent,Mike T.,34,4
80102,2024-11-20,2024-11-20, technical ,Low,Jessica L.,5,4
80103,2024-10-07,,Account,High,Mike T.,,
80104,2024-07-27,2024-07-29,Technical,Low,Mike T.,56,2
80105,2024-02-07,2024-02-09, technical ,Low,Tom B.,65,5
80106,2024-12-24,2024-12-24,BILLING,High,Tom B.,18,2
80107,2024-08-11,2024-08-11,General,Urgent,David W.,6,5
80108,2024-03-25,2024-03-25,BILLING,Urgent,Sarah K.,8,2
80109,2024-01-17,2024-01-18,General,Low,Tom B.,39,3
80110,2024-12-02,2024-12-04, technical ,Low,David W.,58,4
80111,2024-01-23,2024-01-24,Technical,Medium,Mike T.,28,1
80112,2024-09-04,2024-09-07,Technical,High,Jessica L.,94,
80113,2024-07-23,2024-07-27, technical ,Medium,David W.,109,5
80114,2024-06-03,2024-06-05,BILLING,Low,Tom B.,69,2
80115,2024-01-05,2024-01-08,BILLING,Medium,David W.,92,1
80116,2024-05-19,2024-05-19, technical ,Medium,Sarah K.,12,5
80117,2024-03-03,2024-03-07, technical ,Low,Mike T.,112,1
80118,2024-04-02,2024-04-02,Account,Medium,Sarah K.,1,2
80119,2024-11-09,2024-11-09,General,High,Sarah K.,9,3
80120,2024-10-21,,General,High,David W.,,
80121,2024-10-19,2024-10-21,General,High,Sarah K.,68,3
80122,2024-05-09,,Billing,Urgent,David W.,,
80123,2024-07-01,, technical ,Low,Tom B.,,
80124,2024-08-27,, technical ,Medium,Jessica L.,,
80125,2024-10-11,2024-10-12,Billing,Medium,Sarah K.,35,5
80126,2024-01-10,,Technical,High,David W.,,
80127,2024-04-13,2024-04-17,General,Low,Mike T.,104,5
80128,2024-11-11,,BILLING,Urgent,Tom B.,,
80129,2024-07-28,2024-07-31,BILLING,High,David W.,93,4
80130,2024-02-19,2024-02-23,Billing,Low,Sarah K.,115,5
80131,2024-10-15,2024-10-15,General,Medium,Mike T.,9,2
80132,2024-05-17,,Account,Low,Sarah K.,,
80133,2024-03-12,2024-03-14, technical ,High,David W.,48,3
80134,2024-07-06,2024-07-09,Billing,Low,Tom B.,89,
80135,2024-07-12,2024-07-16,Account,Low,David W.,110,1
80136,10/21/2024,2024-10-21,Technical,Urgent,David W.,7,1
80137,2024-03-20,2024-03-23, technical ,Low,Sarah K.,82,2
80138,2024-01-24,2024-01-25,Billing,Urgent,David W.,32,3
80139,2024-12-21,2024-12-21,General,Urgent,Sarah K.,17,1
80140,2024-05-14,2024-05-17,BILLING,Low,Jessica L.,75,
80141,2024-04-25,2024-04-29,General,High,Jessica L.,98,2
80142,2024-09-22,2024-09-23, technical ,Urgent,Sarah K.,30,5
80143,2024-04-21,2024-04-24,BILLING,High,Sarah K.,91,1
80144,2024-04-08,2024-04-12,Account,High,Sarah K.,110,1
80145,06/17/2024,2024-06-17,General,Urgent,Sarah K.,21,5
80146,2024-04-21,2024-04-25,Account,Medium,David W.,104,1
80147,2024-09-03,2024-09-05,Billing,High,David W.,70,1
80148,2024-01-25,2024-01-26,General,High,Sarah K.,33,1
80149,2024-03-13,2024-03-15,Billing,Medium,David W.,57,1
80150,2024-09-21,,General,Low,Jessica L.,,
80151,2024-12-08,2024-12-09,Account,Medium,David W.,37,
