WeekStartDate,AdPlatform,AmountSpend,Impressions,Clicks,TotalUsers,NewUsers,Revenue,Orders,NewCustomers
2024-09-30,Google Ads,4501,180040,3600,3060,1836,39284,244,141
2024-08-26,TikTok Ads,2542,165230,1652,1519,987,24888,136,85
2024-09-09, google ads ,977,47873,957,727,399,10270,65,47
2024-05-13,Facebook Ads,1522,147634,5905,4369,2359,33245,305,164
2024-03-25,tiktok,4332,220932,6627,4440,3285,36442,266,207
2024-08-05,TikTok Ads,3633,196182,9809,6277,4770,51363,439,289
2024-05-20,Google Ads,596,31588,631,548,411,4165,49,28
2024-06-10,tiktok,4320,190080,5702,4390,3336,54905,395,158
2024-10-14,Affiliate,2956,133020,3990,2633,1922,27612,236,184
2024-05-20,Google Ads,3522,324024,6480,5184,4095,5270,155,62
2024-02-19, google ads ,2721,106119,5305,3236,2103,10465,161,101
2024-12-23, google ads ,2967,94944,2848,2050,1496,24840,184,112
2024-06-24,tiktok,3153,110355,5517,4634,3614,4587,139,109
2024-11-04,Facebook Ads,4725,226800,2268,1587,1126,3807,47,30
2024-09-02,Affiliate,1226,87046,870,600,324,2250,18,11
2024-08-05,Google Ads,4095,393120,19656,12579,7924,97968,628,464
2024-07-29,TikTok Ads,,150800,7540,6936,4161,56160,624,293
2024-11-18,Affiliate,3523,306501,12260,7601,5928,44460,380,243
2024-08-12,TikTok Ads,1320,93720,5623,3598,2266,34615,215,111
2024-12-02,Facebook Ads,3499,209940,14695,12637,8593,180790,1010,797
2024-04-08,Google Ads,1117,52499,3674,3380,1723,12864,67,36
2024-07-01,tiktok,1982,170452,10227,8897,7028,97539,533,245
2024-08-19,Facebook Ads,4343,273609,10944,7879,5357,29736,472,217
2024-11-25, google ads ,4662,289044,2890,2658,2073,15900,106,78
01/29/2024,Facebook Ads,3855,327675,9830,7077,4033,41128,212,112
2024-06-03,tiktok,4714,381834,19091,17372,13029,87528,1563,1156
2024-10-21,Facebook Ads,1807,142753,4282,3168,1932,19750,158,83
2024-11-04, google ads ,3670,249560,14973,13026,9118,30974,911,546
2024-01-01,Google Ads,1429,45728,3200,2048,1126,5490,122,73
2024-07-29,TikTok Ads,517,12408,372,234,145,846,18,13
2024-04-22,tiktok,1221,56166,561,504,347,860,20,14
2024-08-26,Facebook Ads,1998,125874,6293,5474,2737,13952,218,89
2024-08-26, google ads ,1240,91760,1835,1119,861,4891,67,34
2024-12-16,tiktok,1467,132030,3960,3445,2618,18557,241,134
2024-06-10,Google Ads,758,63672,3820,2941,2235,29106,147,91
2024-11-11,Google Ads,870,44370,3105,2887,1761,9696,202,139
2024-10-21,Affiliate,4782,430380,12911,10587,6458,124362,846,549
2024-07-01,Google Ads,2744,161896,11332,6799,4827,54945,407,256
2024-05-20,tiktok,3901,280872,2808,1684,1161,11627,151,98
2024-08-05, google ads ,1067,68288,2731,2157,1639,3698,86,37
03/04/2024,TikTok Ads,1881,80883,5661,4019,3014,38266,361,158
2024-07-29,tiktok,3192,118104,1181,1110,821,8052,44,25
2024-01-15,Facebook Ads,593,32022,1921,1517,940,8840,136,107
2024-04-22, google ads ,3253,178915,5367,3434,2266,11433,309,126
2024-01-15,TikTok Ads,4304,284064,11362,10453,5958,140060,940,470
2024-08-05,Affiliate,3385,209870,10493,9863,7495,-136620,690,489
2024-07-15,TikTok Ads,754,15834,158,107,70,1568,8,4
2024-08-26,Facebook Ads,2257,209901,2099,1721,1239,23760,120,80
2024-05-27,Facebook Ads,2032,105664,4226,2704,1811,39852,243,160
2024-08-05,Facebook Ads,4132,107432,5371,4243,2248,61722,381,194
2024-11-11,Google Ads,4152,265728,10629,8928,5713,72384,624,361
2024-07-15, google ads ,3567,74907,2247,1752,1226,13860,105,79
2024-05-20,TikTok Ads,2479,146261,2925,1755,1140,8715,105,44
2024-04-22, google ads ,4603,188723,9436,6793,3668,10935,135,85
2024-06-17,Google Ads,2074,66368,3318,2986,2329,2773,59,44
2024-04-01,TikTok Ads,4843,450399,18015,13871,10680,230880,1248,673
2024-12-16,TikTok Ads,2034,75258,752,488,273,3276,39,18
2024-08-26,Facebook Ads,1525,61000,3050,2531,1467,15453,101,76
2024-10-14,TikTok Ads,2709,146286,4388,3773,2452,28776,264,134
2024-01-01, google ads ,2757,102009,1020,867,433,10902,69,33
2024-04-01,TikTok Ads,3172,231556,13893,9447,6235,65598,377,203
2024-01-08,TikTok Ads,4910,98200,4910,3731,2462,31581,261,161
2024-08-12,Affiliate,4748,308620,15431,13116,7738,14672,262,186
2024-09-16,Facebook Ads,3695,288210,20174,13516,8379,37530,270,135
2024-01-22,Affiliate,3341,167050,10023,8519,6730,30940,170,129
2024-03-25,TikTok Ads,522,38628,772,702,428,6363,63,49
2024-08-19,Google Ads,3067,82809,828,513,312,4740,30,17
2024-04-29,Affiliate,3180,209880,4197,3021,2326,39457,211,141
2024-05-27, google ads ,932,39144,391,328,216,1314,9,3
2024-11-18,TikTok Ads,3676,99252,5955,4823,2797,67704,434,260
2024-03-04,tiktok,4909,471264,14137,10885,7075,82278,653,287
2024-08-12,tiktok,1250,53750,3762,2294,1674,10374,91,38
2024-03-11,Google Ads,2936,164416,1644,1397,1061,17375,125,56
04/22/2024,Google Ads,1896,64464,4512,3113,2397,6138,62,47
2024-10-07,Affiliate,4209,252540,7576,4545,2727,8568,136,57
2024-07-01,Google Ads,3524,225536,4510,4194,2264,31644,293,117
2024-08-12, google ads ,905,55205,3864,3400,1904,9384,136,74
2024-03-25, google ads ,1236,119892,1198,826,536,4389,33,20
2024-03-04,Facebook Ads,1123,50535,1010,878,597,10150,70,37
2024-04-15,TikTok Ads,1467,67482,674,525,404,4653,47,33
2024-05-06,TikTok Ads,1723,53413,534,437,235,1680,30,12
2024-01-22,Facebook Ads,2545,218870,2188,1378,854,5280,110,46
2024-07-15,TikTok Ads,1419,134805,6740,5594,3244,31290,447,178
2024-08-05,TikTok Ads,3112,93360,1867,1157,659,4209,23,10
2024-04-29,Affiliate,2950,227150,4543,2907,2267,26274,174,121
2024-06-24, google ads ,1579,72634,4358,4052,2795,6868,202,135
2024-10-28,tiktok,2872,215400,8616,7151,5649,40612,286,145
2024-12-23,Google Ads,864,61344,3067,1901,1501,16872,152,95
2024-02-12,TikTok Ads,,333868,16693,11685,8530,116216,584,239
2024-03-04,Google Ads,1243,44748,447,415,211,3168,33,20
2024-05-06,tiktok,763,45017,1800,1548,1161,10549,77,33
