TransactionID,Date,Department,Type,Amount,Budget,Status,Notes
20001,2024-04-17,Marketing,Income,18674,9509,Cleared,
20002,2023-02-05,Operations,Income,23768,12011,Cleared,
20003,2024-07-23,Sales,Expense,1670,2668,Cleared,
20004,2024-05-18,Admin,Expense,3174,4159,Cleared,
20005,2023-01-15,sales,Income,6297,14935,Cleared,
20006,2024-01-13,Marketing,Expense,6036,2187,Cleared,
20007,08/18/2024,Marketing,Expense,3409,2809,Cleared,
20008,2023-08-22,Operations,Expense,,6017,Pending,
20009,2023-12-21,Operations,Expense,5157,7987,Cleared,
20010,2024-04-16,R&D,Expense,4890,11888,Cleared,
20011,2024-10-16,sales,Expense,4490,5995,Cleared,
20012,2024-01-03,Sales,Expense,1658,2378,Cleared,
20013,2023-11-24,R&D,Expense,1082,5895,Cleared,
20014,2023-09-01,sales,Income,14369,18681,Cleared,
20015,2024-03-20,Admin,Expense,8615,1458,Cleared,
20016,2023-02-06,Marketing,Expense,7326,2104,Cleared,
20017,2024-09-04,sales,Income,16393,17643,Cleared,
20018,2023-11-04,sales,Expense,13997,2417,Cleared,
20019,2024-12-11, operations ,Income,9678,14642,Cleared,
20020,2024-09-24,Sales,Expense,1061,11721,Cleared,
20021,2023-09-16,sales,Expense,11236,4454,Cleared,
20022,2024-10-26,sales,Expense,12637,8579,Cleared,
20023,2023-12-12, operations ,Income,10257,18378,Cleared,
20024,2024-06-03, operations ,Expense,9534,10906,Cleared,
20025,2024-11-25,Admin,Income,14160,14443,Cleared,
20026,2023-04-17,Admin,Income,9370,19992,Cleared,
20027,2024-10-20,Admin,Expense,9555,3438,Cleared,
20028,2023-12-26,sales,Expense,14351,6753,Cleared,
20029,08/04/2023,Sales,Expense,12313,10424,Cleared,
20030,2024-05-09,Marketing,Expense,1251,6459,Cleared,
20031,2023-05-02,Operations,Expense,12517,8287,Cleared,
20032,2023-08-22,Operations,Expense,8519,10876,Cleared,
20033,2023-05-02,sales,Expense,4554,2141,Pending,
20034,2023-05-03,Operations,Expense,7209,1459,Cleared,
20035,2024-11-26,Marketing,Expense,5059,1805,Cleared,
20036,2023-11-16,Operations,Expense,1977,3234,Cleared,
20037,2023-08-29, operations ,Expense,8389,7752,Cleared,
20038,2024-12-27,Sales,Expense,12216,9750,Cleared,
20039,2024-09-01,sales,Expense,1269,10746,Cleared,
20040,2024-07-27, operations ,Expense,12426,3460,Cleared,
20041,2023-12-12,Sales,Expense,2738,10279,Cleared,
20042,2024-01-09,sales,Expense,13368,7166,Cleared,
20043,2024-12-21,Sales,Expense,10929,6497,Pending,
20044,2023-05-10,Marketing,Expense,10904,3602,Cleared,
20045,2024-12-16,Operations,Income,19585,17954,Cleared,
20046,2023-11-09,Admin,Expense,10655,1152,Cleared,
20047,2023-01-25,Sales,Expense,2357,4263,Cleared,
20048,2023-06-06,Marketing,Expense,10264,8577,Cleared,
20049,2023-01-03,Sales,Expense,3095,6512,Cleared,
20050,2024-11-07,Marketing,Income,7838,11528,Cleared,
20051,2023-05-06,R&D,Expense,1584,10028,Cleared,
20051,2023-05-06,R&D,Expense,1584,10028,Cleared,
20052,2024-04-07,Sales,Income,17419,12167,Cleared,
20053,2024-07-27,Marketing,Income,19409,10196,Cleared,
20054,2024-07-29,Marketing,Expense,10312,9546,Cleared,
20055,2023-02-28,sales,Income,6195,16764,Cleared,
20056,2023-07-11,Marketing,Expense,10066,3186,Cleared,
20057,2023-09-25,Admin,Expense,3971,10341,Cleared,
20058,2023-12-19,Operations,Income,15318,10034,Cleared,
20059,2024-10-25, operations ,Expense,14010,7691,Cleared,
20060,2024-07-23,Operations,Expense,14474,10365,Cleared,
20061,2024-09-06,Sales,Expense,3078,10956,Cleared,
20062,2023-04-04,Sales,Expense,11443,10529,Cleared,
20063,2023-08-26,R&D,Income,6280,17669,Cleared,
20064,2024-03-25,Sales,Expense,2141,1415,Cleared,
20065,2024-01-10,sales,Expense,5736,11701,Cleared,
20066,2023-10-01,R&D,Income,22698,14281,Cleared,
20067,2024-05-05,Marketing,Income,18088,9222,Cleared,
20068,2024-07-28,Marketing,Expense,2276,1636,Cleared,
20069,2024-03-04,sales,Expense,5067,8434,Pending,
20070,2024-05-13,Admin,Income,12046,12338,Cleared,
20071,2024-01-21,Admin,Expense,5331,1554,Cleared,
20072,2023-08-10,Admin,Expense,10899,9319,Pending,
20073,2023-03-07,Admin,Income,5511,4972,Cleared,
20074,2023-01-03,R&D,Expense,8881,10399,Cleared,
20075,2024-10-04,Operations,Income,7700,4344,Cleared,
20076,2023-10-18,Admin,Income,23445,7564,Cleared,
20077,09/11/2023,R&D,Expense,12538,7507,Cleared,
20078,2023-11-14,Admin,Expense,2383,9116,Cleared,
20078,2023-11-14,Admin,Expense,2383,9116,Cleared,
20079,2024-12-01,Operations,Expense,3399,3355,Cleared,
20080,06/05/2024, operations ,Income,22861,17509,Cleared,
20081,2024-10-09,Sales,Expense,3262,7803,Cleared,
20082,2024-11-05,Marketing,Expense,5047,10038,Cleared,
20083,2024-02-15,Operations,Expense,2931,5626,Cleared,
20084,2024-11-19,Marketing,Expense,2641,9425,Cleared,
20085,02/09/2023,Marketing,Expense,6823,1581,Cleared,
20086,2024-10-14,Operations,Expense,14731,1988,Cleared,
