CampaignID,LaunchDate,Channel,TargetAudience,SpendAmount,Impressions,Clicks,Conversions,Status
30001,2023-08-17,Search Engine,Gen Z,10300,287526,11213,459,Paused
30002,2024-06-07, social media ,General,12066,910947,29150,2798,Active
30003,08/28/2024,Social Media,B2B ,775,474023,3792,295,Active
30004,2023-07-26,Affiliate,B2B,6703,347363,11810,94,Paused
30005,2023-11-03,Affiliate,  Gen Z,3715,366005,13176,1067,Completed
30006,10/09/2023,Social Media,Gen Z,13769,987478,17774,604,Completed
30007,2024-12-12, social media ,  Gen Z,5221,805370,13691,438,Active
30008,2024-09-09,Email,Gen Z,2783,530224,19088,152,Active
30009,2024-08-04,Affiliate,Millennials,6166,549105,18669,1437,Active
30010,2023-05-25,Affiliate,Gen Z,4623,50700,2281,120,Paused
30011,2024-11-04,Affiliate,General,12083,917001,36680,2310,Paused
30012,2023-01-15,Search Engine,B2B,733,615751,23398,1520,Paused
30013,2024-02-10, social media ,General,1210,908805,31808,572,Completed
30014,2024-02-06,Email,B2B ,12124,906733,34455,3411,Paused
30015,2023-05-26,Search Engine,  Gen Z,13615,122259,2078,164,Completed
30016,2024-03-02,Social Media,B2B ,4334,138066,6074,583,Paused
30017,2024-01-29,Affiliate,  Gen Z,4315,227031,9535,858,Paused
30018,2024-10-04,Search Engine,Millennials,2353,313301,9085,808,Completed
30019,2024-07-17, social media ,General,766,322858,10331,123,Paused
30020,2024-10-16,Affiliate,B2B,13826,987488,7899,758,Completed
30021,2024-06-22,email,General,1155,254570,7637,313,Paused
30022,2024-10-06,Email,Millennials,10045,100129,2803,78,Paused
30023,2024-04-12,Social Media,General,11394,968274,29048,2381,Completed
30024,2023-12-10,Social Media,General,6570,855536,17966,988,Active
30025,2023-12-29,Affiliate,  Gen Z,10938,880894,42282,1902,Paused
30026,2023-11-05,Affiliate,B2B,6658,290925,9018,757,Completed
30027,2023-04-21,Social Media,Gen Z,14891,18012,612,55,Completed
30028,2024-11-21,email,  Gen Z,12984,294950,10323,867,Paused
