PropertyID,ListingDate,PropertyType,City,Bedrooms,Bathrooms,SquareFeet,MonthlyRent,MaintenanceCosts,IsOccupied,TenantChurn_Flag
90001,2023-02-27, apartment ,Houston,4,4.5,3040,5808.95335207924,679,Yes,No
90002,2023-10-04,Single Family,San Antonio,3,3,1383,3048.23021011331,524,Yes,No
90003,2024-01-19,Townhouse,Austin,1,1,678,1207.1327028765,614,Yes,No
90004,2023-07-02, apartment ,San Antonio,5,5.5,2655,3754.31625921224,512,No,No
90005,2023-06-18,Apartment,Houston,2,2.5,1158,1622.25648911039,773,No,Yes
90006,2023-07-30,Apartment,Dallas,5,5,3405,5470.19678878351,77,Yes,No
90007,2024-08-12,Townhouse,Austin,1,1.5,588,,749,No,Yes
90008,2023-04-19,Single Family,San Antonio,3,3,2346,3749.09865286318,462,No,Yes
90009,2024-04-06,Townhouse,San Antonio,4,4.5,1908,3498.13166949867,160,Yes,No
90010,04/20/2024,Townhouse,Austin,4,4,1812,3587.19736726023,652,Yes,No
90011,2023-07-22,Single Family,San Antonio,1,1.5,465,1070.65943859478,501,No,No
90012,2023-04-15, apartment ,Dallas,2,2,1396,2270.74220110902,631,No,No
90013,2023-08-27,Single Family,Dallas,5,5.5,2275,5899.01133524674,507,Yes,No
90014,2023-09-25,single family,Dallas,5,4.5,3525,8136.19733840283,489,Yes,No
90015,2023-03-05,Apartment,Austin,5,4.5,2625,6619.67310759689,771,No,No
90016,2024-03-16,Single Family,Dallas,2,2,1298,2088.69601863618,691,No,Yes
90017,2023-01-28, apartment ,San Antonio,1,1.5,420,521.607900378112,337,Yes,No
90018,2024-10-18,Townhouse,Houston,5,5,2600,3135.81268902673,266,Yes,No
90019,2023-07-26,Apartment,Houston,1,1.5,638,959.998408601246,136,No,No
90020,2023-09-28, apartment ,San Antonio,2,1.5,1106,2482.76137224592,293,Yes,No
90021,2024-05-04,Single Family,Houston,4,4.5,2800,4997.45949288712,501,No,Yes
90022,2024-09-17, apartment ,Houston,5,5.5,3900,8669.72849358792,500,No,No
90023,08/10/2024,single family,Houston,5,5,3370,4951.66590023305,624,No,Yes
90024,2023-09-04,Townhouse,Houston,4,4,3088,5499.75900331464,638,Yes,No
90025,2023-10-18,Single Family,Houston,2,2,1516,1829.75825869393,744,Yes,No
90026,2024-07-08,single family,Austin,2,2,1350,2882.10523618483,355,Yes,No
90027,2023-11-17, apartment ,Austin,4,4.5,2336,3728.10429186677,403,No,Yes
90028,2024-01-09,Townhouse,Dallas,3,3.5,1710,4204.71055288739,683,No,Yes
90029,2023-01-18,Apartment,San Antonio,2,1.5,824,2184.03856908047,320,No,No
90030,2024-11-28,Single Family,Austin,2,1.5,828,1916.20652505635,225,Yes,No
90031,2023-09-26,Apartment,Houston,4,3.5,2628,4780.43436551822,546,Yes,No
90032,2023-09-05,Condo,San Antonio,2,2,1490,2789.76282314899,244,No,Yes
90033,2024-03-12,Apartment,Houston,1,1,674,1420.72400646392,689,No,Yes
90034,2023-12-11,Apartment,Dallas,3,2.5,2307,3703.139992465,114,Yes,No
90035,2023-10-07,Single Family,Austin,5,4.5,3590,4754.50526519469,104,No,Yes
90036,2024-04-27,single family,Houston,4,4,1860,4702.62057492818,689,Yes,No
90037,2024-09-21,Single Family,Austin,1,1.5,574,1255.58959244014,601,Yes,No
90038,2024-01-30, apartment ,Houston,5,4.5,2835,7115.87312959129,516,No,No
90039,05/09/2024, apartment ,Dallas,2,2,1306,3253.87209461363,110,Yes,No
90040,02/02/2023,Townhouse,Austin,5,5,3905,9127.02111187695,799,No,Yes
90041,2024-11-17,Single Family,Houston,4,3.5,3176,6710.02207203788,367,No,Yes
90042,2023-03-23,Apartment,Dallas,5,5,2760,4485.15890591273,191,No,Yes
90043,2023-04-23,Apartment,Houston,4,4.5,1680,3912.36115711944,600,Yes,No
90044,2024-10-28,Single Family,Houston,1,1,573,955.482162355064,308,No,No
90045,2023-04-06,Townhouse,Dallas,1,1,498,,137,No,Yes
90046,2024-05-16, apartment ,Houston,5,5,3755,5800.47083416137,616,No,Yes
90047,2024-02-05,Condo,Austin,5,4.5,2850,5343.42382317801,357,Yes,No
90048,2023-05-02,single family,Dallas,5,5.5,2425,3685.6596075374,724,No,Yes
90049,2024-01-02, apartment ,San Antonio,2,2.5,1000,2257.34563458587,768,Yes,No
90050,2024-06-27,single family,Austin,5,4.5,2875,7352.0964256905,535,No,Yes
90051,2024-11-09, apartment ,Dallas,1,1.5,466,1179.93710803163,269,No,Yes
90052,2023-08-30,Condo,San Antonio,5,4.5,2920,4068.3871347161,338,Yes,No
90053,2024-04-10,Apartment,Houston,4,4.5,2844,7164.85110204595,242,Yes,No
90054,2023-09-02,Townhouse,Dallas,3,3,1209,3158.12308171658,339,No,Yes
90055,2023-08-29,Apartment,Dallas,4,4.5,2696,5573.23004960438,398,Yes,No
90056,2023-04-25,Single Family,Dallas,4,4,1740,4473.75562306016,368,No,No
90057,2024-05-24,Single Family,Dallas,4,3.5,3120,5325.45944568396,386,No,Yes
90058,2023-09-09,Apartment,San Antonio,1,1.5,544,903.688922055666,742,No,Yes
90059,2024-08-04,single family,Dallas,5,4.5,2275,3847.2913828887,116,Yes,No
90060,2024-01-08,single family,Houston,5,4.5,2715,5624.87378021627,196,No,No
90061,2023-07-25,Condo,San Antonio,3,3.5,2136,4512.45222173205,385,Yes,No
90062,2023-02-03,single family,Houston,1,1,546,1243.24463586679,499,Yes,No
90063,2024-03-15,single family,Austin,1,1,654,,110,Yes,No
90064,2024-01-14,Single Family,Dallas,3,3.5,1869,4313.14017523836,229,No,Yes
90065,2023-01-29, apartment ,Dallas,1,1,677,1115.59722617543,200,No,Yes
90066,2023-12-23, apartment ,Austin,3,3.5,2283,,492,Yes,No
90067,2023-05-14,Apartment,San Antonio,4,4,2636,4316.75412237698,94,No,Yes
90068,2024-08-12,single family,Austin,2,1.5,1116,1926.8811492125,178,No,Yes
90069,2024-07-19,Condo,San Antonio,1,1,741,1113.00720009436,609,Yes,No
90070,2024-01-20,Single Family,Houston,5,5,2885,7658.45102941615,491,No,Yes
90071,2024-04-11,Condo,Houston,2,2.5,858,2187.82635469224,485,No,Yes
90072,2023-01-13,single family,Houston,5,5.5,2550,5245.3286576389,414,No,No
90073,2024-05-19,single family,Austin,2,1.5,1338,2670.42672207934,316,Yes,No
90074,06/21/2024,Condo,Houston,3,2.5,1887,2294.36727275498,374,No,Yes
90075,2024-05-22, apartment ,San Antonio,5,5.5,3130,3853.80409015613,51,No,Yes
90076,2023-09-10,single family,Austin,4,3.5,2684,3717.48422757866,553,No,Yes
90077,2023-06-27, apartment ,Austin,2,2,1580,3043.35911567572,381,No,Yes
90078,2024-01-21,Single Family,Houston,1,1,651,1374.17457278891,51,No,Yes
