RecordID,Date,Platform,Impressions,Reach,PageViews,FollowersGained,Engagements,PostsPublished,VideoViews,WatchTimeMins,WebUsers,Purchases,Revenue,Sessions
50001,2024-03-01,youtube,821,689,259,16,57,0,9874,29807,124,7,651,148
50002,2024-04-13,youtube,383,256,222,2,45,2,1543,33314,426,0,0,511
50003,2024-04-26,Facebook,4951,3465,434,12,49,1,0,0,270,0,0,324
50004,2024-05-09,YouTube,566,458,229,46,28,1,4329,39857,195,2,236,234
50005,2024-03-15,youtube,2168,1604,351,36,195,3,1256,44089,403,8,896,483
50006,2024-03-31,Instagram,2374,949,629,10,94,2,0,0,361,3,189,433
50007,2024-04-28,Instagram,4641,3387,349,-1,232,3,0,0,257,0,0,308
50008,2024-04-06,Facebook,634,399,691,41,38,0,0,0,118,0,0,141
50009,2024-05-06,LinkedIn,3347,2945,459,2,133,2,0,0,392,0,0,470
50010,04/04/2024,Facebook,2966,1512,574,5,59,0,0,0,131,0,0,157
50011,2024-04-23,Instagram,216,116,776,28,10,0,0,0,149,5,405,178
50012,2024-03-31,Facebook,3008,1654,15,6,30,0,0,0,241,0,0,289
50013,2024-03-15, instagram ,635,527,520,20,57,2,0,0,82,9,351,98
50014,2024-04-01,Instagram,272,127,600,28,27,2,0,0,118,4,160,141
50015,2024-05-16,youtube,4202,3655,298,23,252,2,5329,26717,395,1,65,474
50016,2024-03-30, instagram ,3506,1647,702,20,385,2,0,0,122,9,918,146
50017,2024-04-19,Instagram,1283,1116,201,46,102,3,0,0,205,0,0,246
50018,2024-04-20,LinkedIn,3975,2226,59,47,159,3,0,0,369,5,220,442
50019,2024-04-12,youtube,1330,625,182,2,159,0,4427,34578,229,0,0,274
50020,2024-04-01, instagram ,4948,3216,550,4,197,0,0,0,240,0,0,288
50021,2024-04-07,YouTube,1726,983,733,36,69,1,7730,21993,424,0,0,508
50022,2024-04-02,YouTube,1467,1188,561,16,88,2,8014,13927,364,7,952,436
50023,05/29/2024,YouTube,4384,2323,511,18,438,0,3949,48701,302,0,0,362
