ProductID,OrderDate,DeliveryDate,Supplier,WarehouseLocation,QuantityOrdered,QuantityReceived,UnitCost,Status
40001,2023-08-30,2023-09-16,Delta Supplies, unknown,4936,4936,475,Delivered
40002,2024-10-16,2024-11-02,Gamma Logistics,Los Angeles DC,1629,1629,417,Delivered
40003,2024-05-27,, alpha corp ,New York DC,3083,0,233,In Transit
40004,2024-01-06,,Gamma Logistics,Los Angeles DC,1855,0,221,In Transit
40005,2023-01-19,2023-02-05,Alpha Corp,Dallas DC,2362,2362,56,Delivered
40006,2024-10-05,,Beta Mfg,Los Angeles DC,2752,0,262,In Transit
40007,2023-07-03,2023-07-25,Delta Supplies, unknown,2784,2784,482,Delivered
40008,2023-12-15,2023-12-31,Gamma Logistics,Chicago DC,1784,1784,256,Delivered
40009,2023-08-22,,Beta Mfg,Dallas DC,481,0,93,Delayed
40010,2024-03-22,, alpha corp ,Los Angeles DC,1256,0,414,Delayed
40011,2023-01-11,, alpha corp , unknown,2813,0,203,Delayed
40012,2024-01-23,,Beta Mfg,Dallas DC,4820,0,54,Delayed
40013,2024-10-21,,Gamma Logistics,Chicago DC,4362,0,448,Delayed
40014,2023-06-09,, alpha corp ,Chicago DC,3204,0,441,In Transit
40015,2024-01-28,,Gamma Logistics, unknown,3399,0,310,Delayed
40016,2023-08-20,,Beta Mfg,Chicago DC,631,0,273,Delayed
40017,2024-11-29,2024-12-10,Alpha Corp, unknown,487,452,341,Delivered
40018,2023-09-14,, alpha corp ,Dallas DC,4375,0,261,Delayed
40019,2024-10-06,,Gamma Logistics,Los Angeles DC,3885,0,341,Delayed
40020,2023-07-23,,Gamma Logistics,Dallas DC,1003,0,13,In Transit
40021,2024-06-17,2024-07-03,Beta Mfg,Chicago DC,4626,4626,281,Delivered
40022,2023-05-30,,Beta Mfg, unknown,2753,0,374,Delayed
40023,2024-04-03,2024-04-12,Gamma Logistics, unknown,398,398,396,Delivered
40024,2023-09-02,,Delta Supplies, unknown,2120,0,51,In Transit
40025,2024-04-13,,Beta Mfg,Dallas DC,1682,0,282,In Transit
40026,2024-09-14,,Delta Supplies,Los Angeles DC,465,0,390,Delayed
40027,2024-07-19,,Gamma Logistics,Chicago DC,4979,0,85,In Transit
40028,2024-05-29,2024-06-24, alpha corp ,New York DC,3224,2901,342,Delivered
40029,2023-10-11,2023-10-17,Alpha Corp,New York DC,3217,3217,275,Delivered
40030,2023-12-23,, alpha corp ,Chicago DC,4502,0,,Delayed
40031,2023-07-25,2023-08-22,Gamma Logistics,New York DC,4928,4928,425,Delivered
40032,2023-10-14,,Gamma Logistics,Chicago DC,2803,0,,Delayed
40033,2023-02-19,,Gamma Logistics,Los Angeles DC,3638,0,383,Delayed
40034,2024-03-01,,Beta Mfg,New York DC,3257,0,171,Delayed
40035,2023-03-31,,Beta Mfg, unknown,3589,0,25,In Transit
40036,2023-10-07,2023-10-15, alpha corp , unknown,1117,1117,254,Delivered
40037,2024-08-21,,Gamma Logistics,New York DC,2317,0,149,Delayed
40038,2023-06-10,,Beta Mfg,Chicago DC,2959,0,452,In Transit
40039,2023-12-30,,Beta Mfg,Chicago DC,1482,0,93,Delayed
40040,2023-02-11,2023-02-21, alpha corp ,Los Angeles DC,3386,3386,377,Delivered
40041,2024-01-03,, alpha corp ,New York DC,1170,0,181,Delayed
40042,2023-09-01,,Delta Supplies, unknown,3542,0,175,In Transit
40043,2024-04-07,2024-04-28,Alpha Corp,Chicago DC,2400,2400,261,Delivered
40044,2023-08-19,,Alpha Corp,Dallas DC,3982,0,342,Delayed
40045,2024-08-12,,Beta Mfg,Chicago DC,129,0,218,Delayed
40046,2023-06-13,,Delta Supplies,New York DC,929,0,482,Delayed
40047,2023-12-23,, alpha corp ,Dallas DC,3437,0,103,In Transit
40048,2023-09-27,, alpha corp , unknown,157,0,10,Delayed
40049,2023-12-14,,Gamma Logistics,Dallas DC,3383,0,,Delayed
40050,2023-09-07,2023-09-16,Beta Mfg,Chicago DC,1250,1250,188,Delivered
40051,2023-04-03,,Gamma Logistics,Chicago DC,4119,0,177,In Transit
40052,2023-02-03,,Alpha Corp,Chicago DC,2339,0,241,In Transit
40053,2024-10-27,, alpha corp ,Chicago DC,3707,0,142,Delayed
40054,2023-02-12,,Gamma Logistics, unknown,849,0,307,In Transit
40055,2023-12-05,,Gamma Logistics,Chicago DC,197,0,270,Delayed
40056,2023-08-01,,Gamma Logistics,Chicago DC,859,0,179,Delayed
40057,2024-02-29,,Alpha Corp,Los Angeles DC,4433,0,296,In Transit
40058,2023-05-07,, alpha corp , unknown,558,0,390,In Transit
40059,2023-01-16,,Gamma Logistics,New York DC,3696,0,459,Delayed
40060,2024-04-10,, alpha corp ,Dallas DC,4703,0,465,In Transit
40061,2024-01-09,, alpha corp ,Dallas DC,4632,0,465,In Transit
40062,2023-08-10,2023-08-20,Delta Supplies, unknown,210,210,322,Delivered
40063,2023-09-24,, alpha corp ,Dallas DC,1481,0,449,In Transit
40064,2023-07-24,2023-08-13,Gamma Logistics,Chicago DC,4712,4712,62,Delivered
40065,2024-04-03,, alpha corp ,Dallas DC,1111,0,474,Delayed
40066,2024-08-15,,Delta Supplies,Dallas DC,969,0,205,Delayed
40067,2023-09-18,2023-09-25,Beta Mfg,New York DC,1668,1668,153,Delivered
40068,2024-03-21,2024-04-06,Gamma Logistics,Chicago DC,2530,2530,43,Delivered
40069,2024-07-02,,Beta Mfg,Los Angeles DC,3315,0,382,In Transit
40070,2023-10-30,2023-11-07,Delta Supplies, unknown,2926,2926,447,Delivered
40071,2023-02-09,,Delta Supplies, unknown,1808,0,302,Delayed
40072,2023-09-11,,Delta Supplies,New York DC,3833,0,395,In Transit
40073,2024-10-26,,Alpha Corp,Dallas DC,2029,0,46,Delayed
40074,2024-07-09,,Delta Supplies,Los Angeles DC,4447,0,378,Delayed
40075,2023-07-11,2023-07-25,Delta Supplies,Dallas DC,2801,2801,72,Delivered
40076,2023-04-11,,Gamma Logistics,New York DC,122,0,488,In Transit
40077,2023-10-01,2023-10-29,Delta Supplies,Dallas DC,4805,4805,475,Delivered
40078,2024-07-26,2024-08-20,Beta Mfg,Los Angeles DC,3278,2884,248,Delivered
40079,2024-07-23,2024-08-17,Beta Mfg,New York DC,1748,1748,258,Delivered
40080,2023-10-07,,Beta Mfg,Chicago DC,4104,0,480,In Transit
40081,2023-07-15,2023-08-06,Beta Mfg,Dallas DC,1857,1857,208,Delivered
40082,2023-03-01,,Alpha Corp, unknown,788,0,77,Delayed
40083,2023-02-23,2023-03-05, alpha corp ,New York DC,1463,1463,427,Delivered
40084,2023-10-13,,Gamma Logistics,Chicago DC,1598,0,22,In Transit
40085,2023-05-25,2023-06-16,Delta Supplies,Dallas DC,971,971,483,Delivered
40086,2024-05-10,2024-05-21,Gamma Logistics,Los Angeles DC,4319,4319,137,Delivered
40087,2023-11-02,,Gamma Logistics,Dallas DC,3026,0,425,In Transit
40088,2024-07-23,,Alpha Corp, unknown,1002,0,381,In Transit
40089,2023-02-11,2023-02-17,Delta Supplies,Dallas DC,2138,2138,453,Delivered
40090,2023-05-19,,Delta Supplies,Chicago DC,387,0,401,Delayed
40091,2024-08-19,,Alpha Corp,Los Angeles DC,4362,0,304,Delayed
40092,2024-02-02,2024-02-25,Alpha Corp, unknown,1881,1881,286,Delivered
40093,2024-10-27,2024-11-24,Alpha Corp,New York DC,627,627,177,Delivered
40094,2024-01-08,,Beta Mfg,Chicago DC,232,0,447,Delayed
