DataID,Date,ChannelGroup,DeviceCategory,TotalUsers,NewUsers,Sessions,Purchases,Revenue
60001,01/16/2024,Organic Search,Desktop,1890,1001,2626,131,13886
60002,2024-12-11, direct ,tablet,1659,1011,2243,179,17184
60003,2024-01-11, direct ,smart tv,1780,890,2343,187,11781
60004,2024-02-14,Email,desktop,2381,1309,2617,52,6448
60005,2024-05-08,Social,tablet,2644,1797,2813,56,8120
60006,2024-04-21,Referral,smart tv,561,274,645,12,1092
60007,2024-10-30,Paid Search,tablet,292,216,375,18,1836
60008,2024-10-19,Direct,tablet,1749,1206,2302,184,8648
60009,2024-07-26,Email,smart tv,268,211,316,6,714
60010,2024-08-15,Referral,Desktop,1622,956,2080,41,1435
60011,2024-02-15,Organic Search,desktop,2284,1324,2753,137,5891
60012,12/13/2024, direct ,mobile,164,104,198,15,1545
60013,2024-05-07,Referral,tablet,812,349,864,17,646
60014,2024-10-01,Referral,desktop,1671,701,2038,40,2480
60015,2024-02-25, direct ,desktop,653,515,769,61,3721
60016,2024-10-01,Referral,desktop,592,331,846,16,1776
60017,2024-06-21,Email,tablet,517,263,663,13,1521
60018,2024-06-13,email,Desktop,895,447,1079,21,2100
60019,2024-12-22,Paid Search,smart tv,1826,1387,1985,99,11088
60020,2024-02-02,Social,smart tv,208,114,229,4,228
60021,2024-04-23,Referral,mobile,1751,1348,2162,43,5160
60022,2024-10-11,Email,desktop,2536,1065,2916,58,7192
60023,2024-05-31,email,desktop,1000,690,1390,27,918
60024,2024-02-27, direct ,tablet,972,427,1105,88,11968
60025,2024-12-14,Direct,desktop,1977,1561,2568,205,14350
60026,2024-10-12,Email,tablet,1306,692,1485,29,2813
60027,2024-09-22,email,desktop,1533,613,1704,34,4964
60028,2024-07-31,email,smart tv,817,498,1076,21,2541
60029,2024-02-06,Paid Search,tablet,1824,1130,2172,108,5400
60030,2024-05-29,email,mobile,1009,494,1402,28,3724
60031,04/13/2024,Social,tablet,1945,1303,2289,45,4905
60032,2024-03-06,Email,smart tv,1294,789,1638,32,2176
60033,2024-03-27,Direct,desktop,1767,830,2490,199,20497
60034,2024-01-09,Organic Search,desktop,1876,1313,2606,130,14430
60035,2024-11-21,Direct,smart tv,1261,554,1386,110,5280
60036,2024-07-25,Email,tablet,1995,1556,2434,48,3552
60037,06/09/2024,Email,Desktop,531,281,648,12,624
60038,2024-08-07,Social,mobile,284,198,365,7,413
60039,2024-12-08,email,desktop,1459,729,1999,39,3861
60040,2024-02-15,email,desktop,1824,1057,2005,40,920
60041,2024-07-06,Paid Search,mobile,1299,649,1494,74,1924
60042,2024-09-27,Referral,smart tv,1881,846,2294,45,2295
60043,2024-03-28,email,tablet,762,579,1003,20,1740
60044,2024-11-23, direct ,smart tv,999,649,1408,112,10976
60045,2024-11-21,Direct,Desktop,1537,999,1898,151,5738
60046,2024-09-19,Referral,tablet,1892,1475,2126,42,5124
60047,2024-10-21,Paid Search,mobile,1187,890,1696,84,11508
60048,2024-11-05,Social,mobile,356,227,509,10,210
60049,2024-08-10,Organic Search,tablet,1398,573,1607,80,4320
60050,2024-02-10,Social,tablet,347,256,476,9,1170
60051,2024-07-25, direct ,smart tv,779,514,1053,84,4872
60052,2024-02-28, direct ,desktop,1316,802,1881,150,18900
60053,2024-12-18, direct ,smart tv,1660,1261,1767,141,3948
60054,2024-02-27,Referral,mobile,848,661,932,18,1656
60055,2024-01-06,email,tablet,1154,911,1581,31,2542
60056,2024-08-05,Direct,tablet,1842,1418,1981,158,5530
60057,2024-04-14,Direct,mobile,1261,643,1597,127,11811
60058,2024-01-24,Social,tablet,1927,1329,2570,51,3621
